Date,Prophet_Forecast,Prophet_Lower,Prophet_Upper
2025-06-28,6188.6780673132835,6022.296202865391,6369.715514398792
2025-06-29,6191.49155961086,6020.830678938491,6359.546828897409
2025-06-30,6179.162567548826,6007.5993015829645,6349.313427871969
2025-07-01,6179.98620806575,6010.606407315707,6355.9582528811425
2025-07-02,6180.493373072943,5999.070112238463,6340.448553419591
2025-07-03,6177.506711698987,6011.888551898751,6344.396994849981
2025-07-04,6177.511338937116,6002.40581731853,6348.23847674139
2025-07-05,6188.854123412258,6014.968793248801,6355.64094245395
2025-07-06,6190.480375499001,6027.543228518323,6365.815915758191
2025-07-07,6180.197536062437,5998.3821380213785,6339.231727515062
2025-07-08,6185.836143733271,6012.469979053838,6354.032938858707
2025-07-09,6192.950417647697,6021.274304530334,6365.627596231194
2025-07-10,6197.0881776712795,6016.6309756128,6364.434775883352
2025-07-11,6203.432136233065,6051.060732081554,6373.792991218647
2025-07-12,6219.264857481934,6036.332334452416,6389.2421372585595
2025-07-13,6222.907307758315,6038.955246688939,6393.131930314797
2025-07-14,6212.078307482201,6038.815151956547,6369.2575732900295
2025-07-15,6215.029141470726,6047.732930255371,6377.996158293731
2025-07-16,6218.108922323239,6058.936540159226,6387.742543505469
2025-07-17,6217.828673284054,6054.373366919747,6401.16937194594
2025-07-18,6220.279033531961,6050.242518168415,6391.065075007702
2025-07-19,6233.407716108887,6069.05951475294,6399.696516943449
2025-07-20,6235.848061338612,6051.943122329138,6405.665212674311
2025-07-21,6225.265320241267,6064.761558809403,6388.965236878945
2025-07-22,6229.568555354674,6049.336646458565,6413.12359160768
2025-07-23,6234.614889697587,6073.035171681529,6424.8345374922255
2025-07-24,6236.431617789746,6061.060866074283,6395.750325901555
2025-07-25,6240.767078257726,6072.731679704153,6421.273959244186
2025-07-26,6255.44270391459,6091.378539678013,6423.439133871333
2025-07-27,6259.182639010216,6100.1958887058445,6423.883011040682
2025-07-28,6249.894312546282,6074.363520808346,6409.891344193619
2025-07-29,6255.773151844662,6074.639133825281,6424.232458001481
2025-07-30,6262.893833936735,6102.1883695405295,6446.1117947761395
2025-07-31,6267.348893274121,6095.039635535768,6441.396612099897
2025-08-01,6274.770317236204,6094.7525845735245,6446.65514907519
2025-08-02,6292.713865465671,6115.890914700107,6463.096591331378
2025-08-03,6299.570776427901,6133.450709657199,6463.502588506889
2025-08-04,6292.953379266816,6119.274356854717,6469.4934001626325
2025-08-05,6300.893990539633,6129.045868506736,6487.014254727903
2025-08-06,6309.488862363989,6118.64094600165,6479.391800431352
2025-08-07,6315.029646621213,6141.598042988677,6482.618557578185
2025-08-08,6323.457458775253,6140.6903765701045,6498.336974186188
2025-08-09,6342.636956735442,6174.039034716391,6507.184197028497
2025-08-10,6351.146232013723,6163.792078401209,6523.299651974985
2025-08-11,6346.565010152044,6188.113699897183,6519.262374894824
2025-08-12,6356.631320336848,6187.79957351493,6538.152454861482
2025-08-13,6366.915273031333,6201.696476844807,6551.317809190386
2025-08-14,6373.050369664159,6207.341207260314,6542.737037440165
2025-08-15,6380.336509982665,6215.854252049468,6550.882802367329
2025-08-16,6396.17735534262,6230.071339465476,6572.508714567918
2025-08-17,6399.007920833506,6235.437890980372,6564.268975926492
2025-08-18,6386.6598083293975,6216.362047111973,6556.644682146554
2025-08-19,6387.512743467695,6215.725725944049,6557.831927436344
2025-08-20,6388.078442230923,6210.215837597659,6543.906196746936
2025-08-21,6385.074106587594,6208.941494841093,6563.753087163506
2025-08-22,6384.831990313952,6202.635873205518,6558.253453590358
2025-08-23,6395.54776137149,6227.307599611763,6567.275704590885
2025-08-24,6396.062254165554,6216.824343868564,6563.3236430152
2025-08-25,6384.152968093273,6217.928442483496,6555.6322021711085
2025-08-26,6387.69734715896,6218.386652613216,6546.07504246947
2025-08-27,6392.349642511492,6222.321949074412,6553.87940449996
2025-08-28,6393.768736170485,6214.645511870591,6563.31644991085
2025-08-29,6397.212783771009,6229.236870649009,6568.1350078535415
2025-08-30,6409.968908213495,6247.11444735105,6580.527368020035
2025-08-31,6410.280964583215,6237.397299341228,6586.879679771082
2025-09-01,6395.728574443476,6221.786170634477,6573.926936358285
2025-09-02,6394.407973711392,6217.674775595458,6579.8056042985245
2025-09-03,6392.557409403808,6231.0366734651625,6563.983820643034
2025-09-04,6386.676397356605,6233.887992472191,6569.931880847138
2025-09-05,6382.974709390932,6207.772585765195,6561.394464505311
2025-09-06,6389.643765185052,6219.625180164248,6570.176637820972
2025-09-07,6385.63861710497,6212.488960181828,6562.702643477671
2025-09-08,6368.94626340641,6191.340444676853,6542.33428166495
2025-09-09,6367.707927356366,6191.272177056371,6542.507938166163
2025-09-10,6367.847482222423,6190.481913880327,6544.4013993383105
2025-09-11,6365.25561743142,6188.741897426537,6537.735680528549
2025-09-12,6365.3561097487645,6192.665974609503,6534.834630416292
2025-09-13,6375.528145853673,6211.414484976542,6553.554524680135
2025-09-14,6374.046986271921,6202.0030518527565,6554.981595077736
2025-09-15,6358.489299976307,6184.613802365104,6523.185681504957
2025-09-16,6356.942908264579,6184.604737744435,6516.888603985848
2025-09-17,6355.652375189378,6184.531198606105,6533.581693313822
2025-09-18,6351.141604912575,6180.007759036894,6514.038694694115
2025-09-19,6349.647014158072,6178.317682877995,6508.5027060428
2025-09-20,6359.358416758142,6191.938229785679,6528.806096945431
2025-09-21,6359.165824603326,6186.729825162115,6521.5223484627995
2025-09-22,6346.900468168494,6172.290906013927,6519.8945917952105
2025-09-23,6350.448880414534,6180.348703565048,6524.57803808198
2025-09-24,6355.398430490254,6175.665339782712,6513.801964340078
2025-09-25,6357.262876017857,6175.608135390005,6542.243906502035
